
1535017472 bytes (1.5 GB, 1.4 GiB) copied, 148 s, 10.4 MB/s
1545093632 bytes (1.5 GB, 1.4 GiB) copied, 149 s, 10.4 MB/s
1554978816 bytes (1.6 GB, 1.4 GiB) copied, 150 s, 10.4 MB/s
1565954560 bytes (1.6 GB, 1.5 GiB) copied, 151 s, 10.4 MB/s
1576818176 bytes (1.6 GB, 1.5 GiB) copied, 152 s, 10.4 MB/s
1587610112 bytes (1.6 GB, 1.5 GiB) copied, 153 s, 10.4 MB/s
1597945344 bytes (1.6 GB, 1.5 GiB) copied, 154 s, 10.4 MB/s
1608991232 bytes (1.6 GB, 1.5 GiB) copied, 155 s, 10.4 MB/s
1620050432 bytes (1.6 GB, 1.5 GiB) copied, 156 s, 10.4 MB/s
1631109632 bytes (1.6 GB, 1.5 GiB) copied, 157 s, 10.4 MB/s
1642117632 bytes (1.6 GB, 1.5 GiB) copied, 158 s, 10.4 MB/s
1653048832 bytes (1.7 GB, 1.5 GiB) copied, 159 s, 10.4 MB/s
1663204352 bytes (1.7 GB, 1.5 GiB) copied, 160 s, 10.4 MB/s
1673772032 bytes (1.7 GB, 1.6 GiB) copied, 161 s, 10.4 MB/s
1684229120 bytes (1.7 GB, 1.6 GiB) copied, 162 s, 10.4 MB/s
1695431168 bytes (1.7 GB, 1.6 GiB) copied, 163 s, 10.4 MB/s
1705832960 bytes (1.7 GB, 1.6 GiB) copied, 164 s, 10.4 MB/s
1716537856 bytes (1.7 GB, 1.6 GiB) copied, 165 s, 10.4 MB/s
1726218752 bytes (1.7 GB, 1.6 GiB) copied, 166 s, 10.4 MB/s
1736786432 bytes (1.7 GB, 1.6 GiB) copied, 167 s, 10.4 MB/s
1747394560 bytes (1.7 GB, 1.6 GiB) copied, 168 s, 10.4 MB/s
1758082560 bytes (1.8 GB, 1.6 GiB) copied, 169 s, 10.4 MB/s
1766963712 bytes (1.8 GB, 1.6 GiB) copied, 170 s, 10.4 MB/s
1777635328 bytes (1.8 GB, 1.7 GiB) copied, 171 s, 10.4 MB/s
1788566528 bytes (1.8 GB, 1.7 GiB) copied, 172 s, 10.4 MB/s
1799209472 bytes (1.8 GB, 1.7 GiB) copied, 173 s, 10.4 MB/s
1809385472 bytes (1.8 GB, 1.7 GiB) copied, 174 s, 10.4 MB/s
1820200448 bytes (1.8 GB, 1.7 GiB) copied, 175 s, 10.4 MB/s
1831158272 bytes (1.8 GB, 1.7 GiB) copied, 176 s, 10.4 MB/s
1841719296 bytes (1.8 GB, 1.7 GiB) copied, 177 s, 10.4 MB/s
1852082176 bytes (1.9 GB, 1.7 GiB) copied, 178 s, 10.4 MB/s
1862124032 bytes (1.9 GB, 1.7 GiB) copied, 179 s, 10.4 MB/s
1871981056 bytes (1.9 GB, 1.7 GiB) copied, 180 s, 10.4 MB/s
1882826752 bytes (1.9 GB, 1.8 GiB) copied, 181 s, 10.4 MB/s
1893412864 bytes (1.9 GB, 1.8 GiB) copied, 182 s, 10.4 MB/s
1904099840 bytes (1.9 GB, 1.8 GiB) copied, 183 s, 10.4 MB/s
1915010560 bytes (1.9 GB, 1.8 GiB) copied, 184 s, 10.4 MB/s
1925826560 bytes (1.9 GB, 1.8 GiB) copied, 185 s, 10.4 MB/s
1936841216 bytes (1.9 GB, 1.8 GiB) copied, 186 s, 10.4 MB/s
1946911232 bytes (1.9 GB, 1.8 GiB) copied, 187 s, 10.4 MB/s
1958007808 bytes (2.0 GB, 1.8 GiB) copied, 188 s, 10.4 MB/s
1969029632 bytes (2.0 GB, 1.8 GiB) copied, 189 s, 10.4 MB/s
1979203584 bytes (2.0 GB, 1.8 GiB) copied, 190 s, 10.4 MB/s
1990226944 bytes (2.0 GB, 1.9 GiB) copied, 191 s, 10.4 MB/s
2000241152 bytes (2.0 GB, 1.9 GiB) copied, 192 s, 10.4 MB/s
2011054592 bytes (2.0 GB, 1.9 GiB) copied, 193 s, 10.4 MB/s
2021622272 bytes (2.0 GB, 1.9 GiB) copied, 194 s, 10.4 MB/s
2032159744 bytes (2.0 GB, 1.9 GiB) copied, 195 s, 10.4 MB/s
2043088384 bytes (2.0 GB, 1.9 GiB) copied, 196 s, 10.4 MB/s
2053627392 bytes (2.1 GB, 1.9 GiB) copied, 197 s, 10.4 MB/s
2064043008 bytes (2.1 GB, 1.9 GiB) copied, 198 s, 10.4 MB/s
2074706432 bytes (2.1 GB, 1.9 GiB) copied, 199 s, 10.4 MB/s
2085028352 bytes (2.1 GB, 1.9 GiB) copied, 200 s, 10.4 MB/s
2095350272 bytes (2.1 GB, 2.0 GiB) copied, 201 s, 10.4 MB/s
2104872448 bytes (2.1 GB, 2.0 GiB) copied, 202 s, 10.4 MB/s
2115464192 bytes (2.1 GB, 2.0 GiB) copied, 203 s, 10.4 MB/s
2126144000 bytes (2.1 GB, 2.0 GiB) copied, 204 s, 10.4 MB/s
2136713728 bytes (2.1 GB, 2.0 GiB) copied, 205 s, 10.4 MB/s
2147259392 bytes (2.1 GB, 2.0 GiB) copied, 206 s, 10.4 MB/s
2157281792 bytes (2.2 GB, 2.0 GiB) copied, 207 s, 10.4 MB/s
2167725056 bytes (2.2 GB, 2.0 GiB) copied, 208 s, 10.4 MB/s
2178417152 bytes (2.2 GB, 2.0 GiB) copied, 209 s, 10.4 MB/s
2188370432 bytes (2.2 GB, 2.0 GiB) copied, 210 s, 10.4 MB/s
2198956032 bytes (2.2 GB, 2.0 GiB) copied, 211 s, 10.4 MB/s
2209873920 bytes (2.2 GB, 2.1 GiB) copied, 212 s, 10.4 MB/s
2220845056 bytes (2.2 GB, 2.1 GiB) copied, 213 s, 10.4 MB/s
2231501312 bytes (2.2 GB, 2.1 GiB) copied, 214 s, 10.4 MB/s
2241527808 bytes (2.2 GB, 2.1 GiB) copied, 215 s, 10.4 MB/s
2251407872 bytes (2.3 GB, 2.1 GiB) copied, 216 s, 10.4 MB/s
2261562368 bytes (2.3 GB, 2.1 GiB) copied, 217 s, 10.4 MB/s
2271805952 bytes (2.3 GB, 2.1 GiB) copied, 218 s, 10.4 MB/s
2282373632 bytes (2.3 GB, 2.1 GiB) copied, 219 s, 10.4 MB/s
2292311040 bytes (2.3 GB, 2.1 GiB) copied, 220 s, 10.4 MB/s
2302118400 bytes (2.3 GB, 2.1 GiB) copied, 221 s, 10.4 MB/s
2312633856 bytes (2.3 GB, 2.2 GiB) copied, 222 s, 10.4 MB/s
2323350016 bytes (2.3 GB, 2.2 GiB) copied, 223 s, 10.4 MB/s
2333692928 bytes (2.3 GB, 2.2 GiB) copied, 224 s, 10.4 MB/s
2344214528 bytes (2.3 GB, 2.2 GiB) copied, 225 s, 10.4 MB/s
2354872832 bytes (2.4 GB, 2.2 GiB) copied, 226 s, 10.4 MB/s
2365440512 bytes (2.4 GB, 2.2 GiB) copied, 227 s, 10.4 MB/s
2376008704 bytes (2.4 GB, 2.2 GiB) copied, 228 s, 10.4 MB/s
2385838592 bytes (2.4 GB, 2.2 GiB) copied, 229 s, 10.4 MB/s
2396160512 bytes (2.4 GB, 2.2 GiB) copied, 230 s, 10.4 MB/s
2406272000 bytes (2.4 GB, 2.2 GiB) copied, 231 s, 10.4 MB/s
2417056256 bytes (2.4 GB, 2.3 GiB) copied, 232 s, 10.4 MB/s
2427645440 bytes (2.4 GB, 2.3 GiB) copied, 233 s, 10.4 MB/s
2438567936 bytes (2.4 GB, 2.3 GiB) copied, 234 s, 10.4 MB/s
2448836096 bytes (2.4 GB, 2.3 GiB) copied, 235 s, 10.4 MB/s
2458599424 bytes (2.5 GB, 2.3 GiB) copied, 236 s, 10.4 MB/s
2469319680 bytes (2.5 GB, 2.3 GiB) copied, 237 s, 10.4 MB/s
2480183808 bytes (2.5 GB, 2.3 GiB) copied, 238 s, 10.4 MB/s
2490040832 bytes (2.5 GB, 2.3 GiB) copied, 239 s, 10.4 MB/s
2500854272 bytes (2.5 GB, 2.3 GiB) copied, 240 s, 10.4 MB/s
2511430144 bytes (2.5 GB, 2.3 GiB) copied, 241 s, 10.4 MB/s
2522384384 bytes (2.5 GB, 2.3 GiB) copied, 242 s, 10.4 MB/s
2533048832 bytes (2.5 GB, 2.4 GiB) copied, 243 s, 10.4 MB/s
2543623680 bytes (2.5 GB, 2.4 GiB) copied, 244 s, 10.4 MB/s
2553466368 bytes (2.6 GB, 2.4 GiB) copied, 245 s, 10.4 MB/s
2564260352 bytes (2.6 GB, 2.4 GiB) copied, 246 s, 10.4 MB/s
2574418432 bytes (2.6 GB, 2.4 GiB) copied, 247 s, 10.4 MB/s
2584845824 bytes (2.6 GB, 2.4 GiB) copied, 248 s, 10.4 MB/s
2594488832 bytes (2.6 GB, 2.4 GiB) copied, 249 s, 10.4 MB/s
2603265024 bytes (2.6 GB, 2.4 GiB) copied, 250 s, 10.4 MB/s
